"","S","mk","RW","cond","err","rt"
"89","1201","kenny","1","0.01",0.120603015075377,451.942857142857
"90","1202","kenny","1","0.01",0.0707070707070707,450.836956521739
"91","1203","kenny","1","0.01",0.0714285714285714,441.676923076923
"92","1204","kenny","1","0.01",0.0981308411214953,459.880829015544
"93","1205","kenny","1","0.01",0.0895522388059701,440.090163934426
"109","1301","kenny","1","0.03",0.0535714285714286,480.867924528302
"110","1302","kenny","1","0.03",0.166666666666667,470.272727272727
"111","1303","kenny","1","0.03",0.126506024096386,487.993103448276
"112","1304","kenny","1","0.03",0.20625,542.07874015748
"113","1305","kenny","1","0.03",0.0122699386503067,424.900621118012
"129","1401","kenny","1","0.05",0.218905472636816,505.993630573248
"130","1402","kenny","1","0.05",0.105263157894737,495.566844919786
"131","1403","kenny","1","0.05",0.0491803278688525,448.112068965517
"132","1404","kenny","1","0.05",0.04149377593361,450.380952380952
"133","1405","kenny","1","0.05",0.117647058823529,559.047619047619
"149","1501","kenny","1","0.1",0.0840336134453782,487.091743119266
"150","1502","kenny","1","0.1",0.0454545454545455,483.642857142857
"151","1503","kenny","1","0.1",0.0887573964497041,495.285714285714
"152","1504","kenny","1","0.1",0.087378640776699,499.617021276596
"1","1101","kenny","1","saline",0.0793650793650794,447.637931034483
"2","1102","kenny","1","saline",0.087248322147651,457.897058823529
"3","1103","kenny","1","saline",0.0426829268292683,412.605095541401
"4","1104","kenny","1","saline",0.0612244897959184,386.840579710145
"5","1105","kenny","1","saline",0.0634920634920635,390.220338983051
"6","1106","kenny","1","saline",0.0710382513661202,409.947058823529
"7","1107","kenny","1","saline",0.11046511627907,424.921568627451
"8","1108","kenny","1","saline",0.101351351351351,458.684210526316
"9","1109","kenny","1","saline",0.113207547169811,434.780141843972
"10","1110","kenny","1","saline",0.0909090909090909,441.51
"11","1111","kenny","1","saline",0.0188087774294671,366.846645367412
"12","1112","kenny","1","saline",0.139393939393939,470.774647887324
"13","1113","kenny","1","saline",0.0422535211267606,441.838235294118
"14","1114","kenny","1","saline",0.0317460317460317,480.102459016393
"15","1115","kenny","1","saline",0.0828025477707006,480.465277777778
"16","1116","kenny","1","saline",0.0517241379310345,440.775757575758
"17","1117","kenny","1","saline",0.0360824742268041,450.593582887701
"18","1118","kenny","1","saline",0.0508474576271186,458.196428571429
"19","1119","kenny","1","saline",0.12,446.75974025974
"20","1120","kenny","1","saline",0.0518134715025907,484.590163934426
"21","1121","kenny","1","saline",0.115384615384615,463.552795031056
"22","1122","kenny","1","saline",0.173913043478261,442.781954887218
"94","1201","kenny","2","0.01",0.0932642487046632,410.68
"95","1202","kenny","2","0.01",0.0842105263157895,404.022988505747
"96","1203","kenny","2","0.01",0.0212765957446809,401.021739130435
"97","1204","kenny","2","0.01",0.0607734806629834,413.611764705882
"98","1205","kenny","2","0.01",0.05,395.166666666667
"114","1301","kenny","2","0.03",0.106194690265487,439.366336633663
"115","1302","kenny","2","0.03",0.0566037735849057,475.5
"116","1303","kenny","2","0.03",0.0357142857142857,443.622222222222
"117","1304","kenny","2","0.03",0.116564417177914,482.027777777778
"118","1305","kenny","2","0.03",0.0115606936416185,388.292397660819
"134","1401","kenny","2","0.05",0.0869565217391304,493.14880952381
"135","1402","kenny","2","0.05",0.075,475.897297297297
"136","1403","kenny","2","0.05",0.00819672131147541,434.305785123967
"137","1404","kenny","2","0.05",0.020746887966805,406.309322033898
"138","1405","kenny","2","0.05",0.036697247706422,463.361904761905
"153","1501","kenny","2","0.1",0.0485436893203883,411.663265306122
"154","1502","kenny","2","0.1",0.0526315789473684,440.755555555556
"155","1503","kenny","2","0.1",0.025,446.961538461538
"156","1504","kenny","2","0.1",0.0625,435.809523809524
"23","1101","kenny","2","saline",0.0510948905109489,426.815384615385
"24","1102","kenny","2","saline",0.0317460317460317,420.647540983607
"25","1103","kenny","2","saline",0.0531914893617021,386.275280898876
"26","1104","kenny","2","saline",0.0583941605839416,386.364341085271
"27","1105","kenny","2","saline",0.0288461538461538,382.128712871287
"28","1106","kenny","2","saline",0.0769230769230769,390.022222222222
"29","1107","kenny","2","saline",0.0755813953488372,379.798742138365
"30","1108","kenny","2","saline",0.0294117647058824,427.265151515152
"31","1109","kenny","2","saline",0.0632911392405063,403.878378378378
"32","1110","kenny","2","saline",0.0655021834061135,413.271028037383
"33","1111","kenny","2","saline",0.0213414634146341,341.373831775701
"34","1112","kenny","2","saline",0.0536912751677852,395.893617021277
"35","1113","kenny","2","saline",0.028436018957346,396.126829268293
"36","1114","kenny","2","saline",0.0390625,418.613821138211
"37","1115","kenny","2","saline",0.032258064516129,419.45
"38","1116","kenny","2","saline",0.0395480225988701,408.411764705882
"39","1117","kenny","2","saline",0.0164835164835165,404.921787709497
"40","1118","kenny","2","saline",0.0296610169491525,405.497816593886
"41","1119","kenny","2","saline",0.15,400.019607843137
"42","1120","kenny","2","saline",0.0552486187845304,433.350877192982
"43","1121","kenny","2","saline",0.0942408376963351,391.93063583815
"44","1122","kenny","2","saline",0.0533333333333333,392.267605633803
"99","1201","kenny","3","0.01",0.0571428571428571,406.951515151515
"100","1202","kenny","3","0.01",0.0206185567010309,392.484210526316
"101","1203","kenny","3","0.01",0.0457516339869281,394.205479452055
"102","1204","kenny","3","0.01",0.0153061224489796,420.067357512953
"103","1205","kenny","3","0.01",0.0256410256410256,391.026315789474
"119","1301","kenny","3","0.03",0.0202020202020202,420.134020618557
"120","1302","kenny","3","0.03",0.0857142857142857,485.203125
"121","1303","kenny","3","0.03",0.0072992700729927,446.889705882353
"122","1304","kenny","3","0.03",0.0774193548387097,499.559440559441
"123","1305","kenny","3","0.03",0.0384615384615385,387.36
"139","1401","kenny","3","0.05",0.0816326530612245,489.455555555556
"140","1402","kenny","3","0.05",0.0606060606060606,460.198924731183
"141","1403","kenny","3","0.05",0.0434782608695652,418.727272727273
"142","1404","kenny","3","0.05",0.0208333333333333,392.353191489362
"143","1405","kenny","3","0.05",0.0679611650485437,487.145833333333
"157","1501","kenny","3","0.1",0.0347826086956522,437.900900900901
"158","1502","kenny","3","0.1",0.0412371134020619,422.849462365591
"159","1503","kenny","3","0.1",0.0446927374301676,449.760233918129
"160","1504","kenny","3","0.1",0.0476190476190476,441.43
"45","1101","kenny","3","saline",0.0342465753424658,411.574468085106
"46","1102","kenny","3","saline",0.0434782608695652,415.159090909091
"47","1103","kenny","3","saline",0.0188679245283019,379.230769230769
"48","1104","kenny","3","saline",0.0072463768115942,379.240875912409
"49","1105","kenny","3","saline",0.0427350427350427,367.1875
"50","1106","kenny","3","saline",0.050561797752809,385.118343195266
"51","1107","kenny","3","saline",0.0466666666666667,392.636363636364
"52","1108","kenny","3","saline",0.00714285714285714,409.827338129496
"53","1109","kenny","3","saline",0.0408163265306122,399.687943262411
"54","1110","kenny","3","saline",0.0325581395348837,411.764423076923
"55","1111","kenny","3","saline",0.0154320987654321,349.454545454545
"56","1112","kenny","3","saline",0.0896551724137931,401.492424242424
"57","1113","kenny","3","saline",0,408.649484536082
"58","1114","kenny","3","saline",0.00813008130081301,418.045081967213
"59","1115","kenny","3","saline",0.037593984962406,456.8046875
"60","1116","kenny","3","saline",0.0578947368421053,436.022346368715
"61","1117","kenny","3","saline",0.0223463687150838,384.268571428571
"62","1118","kenny","3","saline",0.0292887029288703,394.784482758621
"63","1119","kenny","3","saline",0.0347222222222222,401.136690647482
