"","mk","condition","rew","ER"
"1","stan","cPRE","1",0.375
"2","stan","cPRE","2",0.466666666666667
"3","stan","cPRE","3",0.5
"4","stan","cPRE","4",0.714285714285714
"5","stan","cPRE","1",0.615384615384615
"6","stan","cPRE","2",0.25
"7","stan","cPRE","3",0.5
"8","stan","cPRE","4",NA
"9","stan","cPRE","1",0.375
"10","stan","cPRE","2",0.428571428571429
"11","stan","cPRE","3",0.333333333333333
"12","stan","cPRE","4",0.333333333333333
"13","stan","cPRE","1",0.636363636363636
"14","stan","cPRE","2",0.6
"15","stan","cPRE","3",0.75
"16","stan","cPRE","4",1
"17","stan","cPRE","1",0.444444444444444
"18","stan","cPRE","2",0.7
"19","stan","cPRE","3",1
"20","stan","cPRE","4",0.6
"21","stan","cPRE","1",0.631578947368421
"22","stan","cPRE","2",0.636363636363636
"23","stan","cPRE","3",1
"24","stan","cPRE","4",0.75
"25","stan","cPRE","1",0.3125
"26","stan","cPRE","2",1
"27","stan","cPRE","3",0
"28","stan","cPRE","4",1
"29","stan","cPRE","1",0.5
"30","stan","cPRE","2",0.142857142857143
"31","stan","cPRE","3",0.75
"32","stan","cPRE","4",0.8
"33","stan","cPRE","1",0.441176470588235
"34","stan","cPRE","2",0.642857142857143
"35","stan","cPRE","3",0.666666666666667
"36","stan","cPRE","4",1
"37","stan","cPRE","1",0.5
"38","stan","cPRE","2",0.588235294117647
"39","stan","cPRE","3",0.75
"40","stan","cPRE","4",1
"41","stan","D0","1",0.3
"42","stan","D0","2",0.37037037037037
"43","stan","D0","3",0.6
"44","stan","D0","4",0
"45","stan","D0","1",0.235294117647059
"46","stan","D0","2",0.235294117647059
"47","stan","D0","3",1
"48","stan","D0","4",NA
"49","stan","D1","1",0.28
"50","stan","D1","2",0.4
"51","stan","D1","3",0.166666666666667
"52","stan","D1","4",0.75
"53","stan","D1","1",0.1875
"54","stan","D1","2",0.277777777777778
"55","stan","D1","3",0.285714285714286
"56","stan","D1","4",0.625
"57","stan","D1","1",0.266666666666667
"58","stan","D1","2",0.166666666666667
"59","stan","D1","3",0.555555555555556
"60","stan","D1","4",1
"61","stan","D2","1",0.30379746835443
"62","stan","D2","2",0.564102564102564
"63","stan","D2","3",0.888888888888889
"64","stan","D2","4",0.866666666666667
"65","stan","D2","1",0.404761904761905
"66","stan","D2","2",0.631578947368421
"67","stan","D2","3",0.625
"68","stan","D2","4",0.75
"69","stan","D2","1",0.388888888888889
"70","stan","D2","2",0.6
"71","stan","D2","3",0.75
"72","stan","D2","4",1
"73","stan","D2","1",0.173913043478261
"74","stan","D2","2",0.5
"75","stan","D2","3",0.571428571428571
"76","stan","D2","4",1
"77","stan","D3","1",0.4
"78","stan","D3","2",0.588235294117647
"79","stan","D3","3",0
"80","stan","D3","4",0.666666666666667
"81","stan","D3","1",0.403846153846154
"82","stan","D3","2",0.466666666666667
"83","stan","D3","3",0.714285714285714
"84","stan","D3","4",0.571428571428571
"85","stan","D3","1",0.0652173913043478
"86","stan","D3","2",0.0588235294117647
"87","stan","D3","3",0.142857142857143
"88","stan","D3","4",0.714285714285714
"89","stan","D3","1",0.333333333333333
"90","stan","D3","2",0.363636363636364
"91","stan","D3","3",0.777777777777778
"92","stan","D3","4",1
"93","stan","D4","1",0.385964912280702
"94","stan","D4","2",0.555555555555556
"95","stan","D4","3",0.785714285714286
"96","stan","D4","4",0.923076923076923
"97","stan","D4","1",0.318181818181818
"98","stan","D4","2",0.5
"99","stan","D4","3",0.2
"100","stan","D4","4",0.5
"101","stan","D4","1",0.24
"102","stan","D4","2",0.5
"103","stan","D4","3",0.5
"104","stan","D4","4",0.8
"105","stan","D4","1",0.478260869565217
"106","stan","D4","2",0.666666666666667
"107","stan","D4","3",0.666666666666667
"108","stan","D4","4",0.6
"109","stan","D7","1",0.454545454545455
"110","stan","D7","2",0.5
"111","stan","D7","3",1
"112","stan","D7","4",1
"113","stan","D7","1",0.25
"114","stan","D7","2",0.727272727272727
"115","stan","D7","3",0.8
"116","stan","D7","4",0.777777777777778
"117","stan","D7","1",0.428571428571429
"118","stan","D7","2",0.75
"119","stan","D7","3",0.5
"120","stan","D7","4",0.666666666666667
"121","kenny","cPRE","1",0.153846153846154
"122","kenny","cPRE","2",0.5
"123","kenny","cPRE","3",0.8
"124","kenny","cPRE","4",0.111111111111111
"125","kenny","cPRE","1",0.24
"126","kenny","cPRE","2",0.444444444444444
"127","kenny","cPRE","3",0.3
"128","kenny","cPRE","4",0.2
"129","kenny","cPRE","1",0.230769230769231
"130","kenny","cPRE","2",0.8
"131","kenny","cPRE","3",0.5
"132","kenny","cPRE","4",0.25
"133","kenny","cPRE","1",0.3125
"134","kenny","cPRE","2",0.666666666666667
"135","kenny","cPRE","3",0
"136","kenny","cPRE","4",0.166666666666667
"137","kenny","cPRE","1",0.181818181818182
"138","kenny","cPRE","2",0.5
"139","kenny","cPRE","3",0
"140","kenny","cPRE","4",0.5
"141","kenny","cPRE","1",0.272727272727273
"142","kenny","cPRE","2",0.538461538461538
"143","kenny","cPRE","3",0.666666666666667
"144","kenny","cPRE","4",0.333333333333333
"145","kenny","cPRE","1",0.4
"146","kenny","cPRE","2",0.416666666666667
"147","kenny","cPRE","3",0.222222222222222
