MK,S,cond,RC,ctype,ER,RT
kenny,644,CON,0,d,0.028571429,392.6911765
kenny,645,CON,0,d,0.035294118,406.695122
kenny,646,CON,0,d,0.03030303,406.953125
kenny,649,CON,0,d,0.026666667,413.0547945
kenny,650,CON,0,d,0.0625,399.9888889
kenny,651,CON,0,d,0.095890411,410.1363636
kenny,652,CON,0,d,0.058252427,396.0103093
kenny,653,CON,0,d,0.109589041,410.6461538
kenny,656,CON,0,d,0.043010753,396.9438202
kenny,657,CON,0,d,0.063063063,382.4326923
kenny,658,CON,0,d,0.064935065,404.1944444
kenny,659,CON,0,d,0.025974026,443.3333333
kenny,660,CON,0,d,0.024390244,414.85
kenny,644,CON,1,d,0.25,430.5217391
kenny,645,CON,1,d,0.098901099,485.4146341
kenny,646,CON,1,d,0.155844156,495.1692308
kenny,649,CON,1,d,0.181818182,423.625
kenny,650,CON,1,d,0.142857143,390.5222222
kenny,651,CON,1,d,0.083333333,467.1666667
kenny,652,CON,1,d,0.211382114,413.9896907
kenny,653,CON,1,d,0.197530864,452.3846154
kenny,656,CON,1,d,0.053191489,446.6179775
kenny,657,CON,1,d,0.063063063,469.0865385
kenny,658,CON,1,d,0.052631579,488.7083333
kenny,659,CON,1,d,0.095238095,525.5526316
kenny,660,CON,1,d,0.101123596,454.1625
kenny,644,CON,2,d,0.178571429,460.826087
kenny,645,CON,2,d,0.136842105,524.902439
kenny,646,CON,2,d,0.1875,553.7230769
kenny,649,CON,2,d,0.111111111,449.5555556
kenny,650,CON,2,d,0.053191489,436.7640449
kenny,651,CON,2,d,0.153846154,523.9393939
kenny,652,CON,2,d,0.101851852,448.2680412
kenny,653,CON,2,d,0.144736842,523.8307692
kenny,656,CON,2,d,0.021978022,491.5730337
kenny,657,CON,2,d,0.054545455,523.0480769
kenny,658,CON,2,d,0.12195122,506.7083333
kenny,659,CON,2,d,0.117647059,572.68
kenny,660,CON,2,d,0.14893617,496.925
kenny,644,CON,0,w,0.014285714,455.8985507
kenny,645,CON,0,w,0.012048193,442.1097561
kenny,646,CON,0,w,0.044776119,442.046875
kenny,649,CON,0,w,0.026666667,402.7671233
kenny,650,CON,0,w,0.021978022,403.0898876
kenny,651,CON,0,w,0.12,487.0151515
kenny,652,CON,0,w,0.058823529,413.8333333
kenny,653,CON,0,w,0.121621622,400.6769231
kenny,656,CON,0,w,0.032608696,414.5168539
kenny,657,CON,0,w,0,440.4038462
kenny,658,CON,0,w,0.01369863,435.375
kenny,659,CON,0,w,0.025974026,429.48
kenny,660,CON,0,w,0,434.3875
kenny,644,CON,1,w,0.068493151,420.0294118
kenny,645,CON,1,w,0.012048193,442.4268293
kenny,646,CON,1,w,0.109589041,449.1230769
kenny,649,CON,1,w,0.130952381,423.7260274
kenny,650,CON,1,w,0.032608696,399.5393258
kenny,651,CON,1,w,0.084507042,457.9076923
kenny,652,CON,1,w,0.170940171,387.1752577
kenny,653,CON,1,w,0.071428571,456.3076923
kenny,656,CON,1,w,0.053191489,414.0449438
kenny,657,CON,1,w,0.063063063,423.5192308
kenny,658,CON,1,w,0.04,443.1388889
kenny,659,CON,1,w,0.05,438.7631579
kenny,660,CON,1,w,0.058823529,393.625
kenny,644,CON,2,w,0.08,472.9130435
kenny,645,CON,2,w,0.10989011,526.9135802
kenny,646,CON,2,w,0.226190476,539.0769231
kenny,649,CON,2,w,0.16091954,482.109589
kenny,650,CON,2,w,0.183486239,490.5842697
kenny,651,CON,2,w,0.261363636,506.4153846
kenny,652,CON,2,w,0.217741935,437.742268
kenny,653,CON,2,w,0.207317073,514.5230769
kenny,656,CON,2,w,0.152380952,555.1123596
kenny,657,CON,2,w,0.176,514.9320388
kenny,658,CON,2,w,0.234042553,537.1111111
kenny,659,CON,2,w,0.085365854,541.0533333
kenny,660,CON,2,w,0.129032258,468.5679012
kenny,664,MO,0,d,0,396.6296296
kenny,685,MO,0,d,0.028985507,449.1492537
kenny,699,MO,0,d,0.053191489,474.011236
kenny,713,MO,0,d,0.206896552,541.5217391
kenny,811,MO,0,d,0.008064516,430.2195122
kenny,664,MO,1,d,0.161290323,404
kenny,685,MO,1,d,0.139240506,559.0588235
kenny,699,MO,1,d,0.12745098,542.0561798
kenny,713,MO,1,d,0.303030303,549.7391304
kenny,811,MO,1,d,0.015748031,489.792
kenny,664,MO,2,d,0.1875,550.3461538
kenny,685,MO,2,d,0.094594595,590.6268657
kenny,699,MO,2,d,0.101010101,557.0786517
kenny,713,MO,2,d,0.148148148,575.6956522
kenny,811,MO,2,d,0.074074074,479.432
kenny,664,MO,0,w,0,490.8076923
kenny,685,MO,0,w,0.056338028,472.3432836
kenny,699,MO,0,w,0.101010101,457.1348315
kenny,713,MO,0,w,0.08,502.826087
kenny,811,MO,0,w,0.008,404.4112903
kenny,664,MO,1,w,0.071428571,400.1153846
kenny,685,MO,1,w,0.15,442.9852941
kenny,699,MO,1,w,0.091836735,445.5730337
kenny,713,MO,1,w,0.206896552,548.4347826
kenny,811,MO,1,w,0.046153846,383.6290323
kenny,664,MO,2,w,0.068965517,478.7407407
kenny,685,MO,2,w,0.1625,534.0447761
kenny,699,MO,2,w,0.278688525,583.5909091
kenny,713,MO,2,w,0.781818182,609.3333333
kenny,811,MO,2,w,0.080882353,479.136
kenny,663,HO,0,d,0.064516129,447.2413793
kenny,684,HO,0,d,0.056603774,403.44
kenny,698,HO,0,d,0.076923077,540.1666667
kenny,712,HO,0,d,0.375,482.2333333
kenny,810,HO,0,d,0.036363636,420.0754717
kenny,663,HO,1,d,0.064516129,479.6206897
kenny,684,HO,1,d,0.10619469,464.5049505
kenny,698,HO,1,d,0.214285714,554
kenny,712,HO,1,d,0.423076923,561.3333333
kenny,810,HO,1,d,0.036363636,453.9433962
kenny,663,HO,2,d,0.121212121,561.5862069
kenny,684,HO,2,d,0.18699187,462.28
kenny,698,HO,2,d,0.52173913,482.6363636
kenny,712,HO,2,d,0.491803279,525.7096774
kenny,810,HO,2,d,0.036363636,465.0566038
kenny,663,HO,0,w,0,470.7241379
kenny,684,HO,0,w,0.056603774,431.69
kenny,698,HO,0,w,0.625,458.8333333
kenny,712,HO,0,w,0.340425532,520.4516129
kenny,810,HO,0,w,0.018518519,436.6037736
kenny,663,HO,1,w,0.033333333,415.7931034
kenny,684,HO,1,w,0.198412698,400.2079208
kenny,698,HO,1,w,0.84,562.5
kenny,712,HO,1,w,0.6125,524.9677419
kenny,810,HO,1,w,0.129032258,432.5555556
kenny,663,HO,2,w,0.263157895,509.1785714
kenny,684,HO,2,w,0.151260504,501.3663366
kenny,698,HO,2,w,0.87628866,553
kenny,712,HO,2,w,0.763358779,595.8064516
kenny,810,HO,2,w,0.242857143,550.6415094
stan,835,CON,0,d,0.008264463,348.5
stan,836,CON,0,d,0.008130081,339.7459016
stan,837,CON,0,d,0.009009009,337.8090909
stan,838,CON,0,d,0.008928571,341.4504505
stan,841,CON,0,d,0,334.1083333
stan,842,CON,0,d,0.008,359.3629032
stan,843,CON,0,d,0.016,346.2113821
stan,844,CON,0,d,0,348.3644068
stan,845,CON,0,d,0.016,341.7398374
