"","SessionNo","monkey","reward size","condition","RefusalRate","RT"
"65","1201","kenny","1","D0",0.244444444444444,527.382352941176
"66","1202","kenny","1","D0",0.148837209302326,492.180327868852
"67","1203","kenny","1","D0",0.251851851851852,497.584158415842
"68","1204","kenny","1","D0",0.0776699029126214,451.831578947368
"81","1301","kenny","1","D1",0.247311827956989,531.421428571429
"82","1302","kenny","1","D1",0.158273381294964,520.735042735043
"83","1303","kenny","1","D1",0.127118644067797,578.679611650485
"84","1304","kenny","1","D1",0.225490196078431,473.746835443038
"97","1401","kenny","1","D2",0.242677824267782,527.469613259669
"98","1402","kenny","1","D2",0.0944206008583691,446.028436018957
"99","1403","kenny","1","D2",0.120689655172414,534.104575163399
"100","1404","kenny","1","D2",0.157894736842105,454.140625
"113","1501","kenny","1","D3",0.173913043478261,487.775119617225
"114","1502","kenny","1","D3",0.0710659898477157,420.360655737705
"115","1503","kenny","1","D3",0.194244604316547,524.330357142857
"116","1504","kenny","1","D3",0.153005464480874,461.270967741935
"129","1601","kenny","1","D4",0.091304347826087,462.234449760766
"130","1602","kenny","1","D4",0.0705882352941176,493.151898734177
"131","1603","kenny","1","D4",0.144508670520231,507.986486486487
"141","1701","kenny","1","D7",0.100671140939597,446.055970149254
"142","1702","kenny","1","D7",0.0714285714285714,490.752136752137
"143","1703","kenny","1","D7",0.0714285714285714,455.940170940171
"1","1101","kenny","1","PRE",0.0948905109489051,537.540322580645
"2","1102","kenny","1","PRE",0.145348837209302,522.285714285714
"3","1103","kenny","1","PRE",0.115044247787611,485.18
"4","1104","kenny","1","PRE",0.150943396226415,530.955555555556
"5","1105","kenny","1","PRE",0.0769230769230769,443.621212121212
"6","1106","kenny","1","PRE",0.0774647887323944,428.797709923664
"7","1107","kenny","1","PRE",0.0666666666666667,456.057142857143
"8","1108","kenny","1","PRE",0.0621468926553672,470.704819277108
"9","1109","kenny","1","PRE",0.0935251798561151,441.853174603175
"10","1110","kenny","1","PRE",0.0731707317073171,451.526315789474
"11","1111","kenny","1","PRE",0.046875,452.467213114754
"12","1112","kenny","1","PRE",0.127272727272727,424.652777777778
"13","1113","kenny","1","PRE",0.0956521739130435,482.923076923077
"14","1114","kenny","1","PRE",0.10738255033557,451.12030075188
"15","1115","kenny","1","PRE",0.162790697674419,496.453703703704
"16","1116","kenny","1","PRE",0.095,474.596685082873
"69","1201","kenny","2","D0",0.1875,456.98717948718
"70","1202","kenny","2","D0",0.0366492146596859,433.625
"71","1203","kenny","2","D0",0.128440366972477,471.252631578947
"72","1204","kenny","2","D0",0.0833333333333333,418.545454545455
"85","1301","kenny","2","D1",0.0982658959537572,458.679487179487
"86","1302","kenny","2","D1",0.0437956204379562,473.885496183206
"87","1303","kenny","2","D1",0.12,516.054545454545
"88","1304","kenny","2","D1",0.0987654320987654,412.643835616438
"101","1401","kenny","2","D2",0.095959595959596,439.748603351955
"102","1402","kenny","2","D2",0.0692640692640693,393.762790697674
