monkey,w.position,concent,water,sucrose,intake,condition,total,ratio
KY,R,1.5,60,954,1014,SAL,1014,0.88
KY,L,1.5,33,922,955,HAL,955,0.93
KY,R,1.5,16,887,903,SAL,903,0.96
KY,L,1.5,17,812,829,HAL,829,0.96
KY,R,1.5,110,931,1041,SAL,1041,0.79
KY,L,1.5,10,934,944,HAL,944,0.98
KY,R,1.5,21,939,960,SCH,960,0.96
KY,L,1.5,18,927,945,SCH,945,0.96
KY,‚q,1.5,7,927,934,SCH,934,0.99
KY,L,1.5,21,915,936,SAL,936,0.96
KY,‚q,1.5,32,930,962,SAL,962,0.93
RO,L,1.5,9,450,459,HAL,459,0.961
RO,R,1.5,11,462,473,SAL,473,0.953
RO,L,1.5,3,454,457,HAL,457,0.987
RO,R,1.5,8,458,466,SAL,466,0.966
RO,L,1.5,2,463,465,SAL,465,0.991
RO,L,1.5,16,464,480,SCH,480,0.933
RO,L,1.5,10,466,476,SCH,476,0.958
RO,R,1.5,10,456,466,SAL,466,0.957
RO,L,1.5,12,460,472,SCH,472,0.949
RO,R,1.5,6,454,460,SAL,460,0.974
RO,L,1.5,15,454,469,HAL,469,0.936
