tag,mk,cond,a_norm,occ
D1ERR-RT,KN,CON,1,0
D1ERR-RT,KN,10,0.885549336,30.00562906
D1ERR-RT,KN,30,0.711849083,56.25659609
D1ERR-RT,KN,50,0.793100151,68.18763273
D1ERR-RT,KN,100,1.003158526,81.08519232
D1ERR-RT,ST,CON,1,0
D1ERR-RT,ST,10,0.92267846,30.00562906
D1ERR-RT,ST,30,0.715302282,56.25659609
D1ERR-RT,ST,50,0.664813677,68.18763273
D1ERR-RT,ST,100,0.725591391,81.08519232
D2ERR-RT,KN,CON,1,0
D2ERR-RT,KN,7,1.241322546,2.810959995
D2ERR-RT,KN,4,1.025377433,11.65664216
D2ERR-RT,KN,3,0.754446706,18.72749678
D2ERR-RT,KN,2,0.75097519,30.08749269
D2ERR-RT,KN,1,0.623550884,48.33839924
D2ERR-RT,KN,0,0.627570513,77.6602047
D2ERR-RT,ST,CON,1,0
D2ERR-RT,ST,7,0.88505186,2.810959995
D2ERR-RT,ST,4,0.700730101,11.65664216
D2ERR-RT,ST,3,0.587038729,18.72749678
D2ERR-RT,ST,2,0.595296185,30.08749269
D2ERR-RT,ST,1,0.600841449,48.33839924
D2ERR-RT,ST,0,0.50879511,77.6602047
