type,MK,cond,E0_Delay,E0_Work,k_Delay,k_Work
D1R block,Monkey KN,Control,1.58727958065198,1.587279580651986,3.2692481167267102,2.2223223151809077
D1R block,Monkey KN,MO,2.314283112872127,2.3142831128721277,5.63587529627037,1.4819081463738104
D1R block,Monkey KN,HO,3.360411648200189,3.3604116482001896,6.394877521248199,2.260109938262252
D1R block,Monkey MP,Control,3.179497056985539,3.1794970569855514,5.007295078725676,3.9603692771798684
D1R block,Monkey MP,MO,7.1554909278958005,7.155490927895804,9.225458774975452,5.07149162507889
D1R block,Monkey MP,HO,7.727101362455353,7.7271013624553575,8.628689636428888,4.493922053442939
D1R block,Monkey ST,Control,1.6605378801555069,1.6605378801555075,3.3492160718055475,2.3022902702597463
D1R block,Monkey ST,MO,2.7342308426405175,2.734230842640519,5.947251607780546,1.793284457883987
D1R block,Monkey ST,HO,3.2432337011028416,3.243233701102845,6.334934283925079,2.2001667009391284
D2R block,Monkey KN,Control,4.587138312576316,4.5871383125763145,5.219198767525674,4.723031612763425
D2R block,Monkey KN,MO,5.567840002956044,5.567840002956044,6.880645674837231,6.880645674837231
D2R block,Monkey KN,HO,15.343812795001892,15.34381279500189,8.376223279827999,12.711004113737808
D2R block,Monkey MP,Control,2.7653358497674407,2.7653358497674407,4.326572020123587,3.830404865361342
D2R block,Monkey MP,MO,5.567840002956042,5.567840002956042,7.337301753060506,7.337301753060506
D2R block,Monkey MP,HO,17.016822297975562,17.016822297975565,8.57363019149823,12.90841102540804
D2R block,Monkey ST,Control,1.94343828107863,1.9434382810786315,3.9238676807895425,3.427700526027296
D2R block,Monkey ST,MO,5.567840002956042,5.567840002956042,5.166243287934469,5.166243287934469
D2R block,Monkey ST,HO,4.947586443191812,4.947586443191824,7.149519585983048,11.484300419892854
