cond,MK,k_work,k_delay,E0_work,E0_delay
CON,kenny,1.9229978469822964,3.567051486804396,3.6788659700319912,3.6788659700319926
CON,mp7,2.8128509466596623,4.456904586481765,2.656738541234475,2.656738541234474
CON,stan,3.351837169324946,4.995890809147047,2.0376334303685395,2.03763343036854
D1,kenny,1.4819081463738104,5.63587529627037,2.3142831128721277,2.314283112872127
D1,mp7,5.07149162507889,9.225458774975452,7.155490927895804,7.1554909278958005
D1,stan,1.793284457883987,5.947251607780546,2.734230842640519,2.7342308426405175
D2,kenny,6.880645674837231,6.880645674837231,5.567840002956044,5.567840002956044
D2,mp7,7.337301753060506,7.337301753060506,5.567840002956042,5.567840002956042
D2,stan,5.166243287934469,5.166243287934469,5.567840002956042,5.567840002956042
Both,kenny,6.536494082238562,9.324529161261152,3.8564927662454096,3.8564927662454074
Both,mp7,4.728436576834887,7.516471655857475,2.94400959861253,2.9440095986125314
Both,stan,4.281467095280251,7.06950217430284,2.7184348438576245,2.718434843857627
