type,monkey,RW,cond,rt,err,pred
D1ERR-RT,Monkey KN,1,10,451.9428571,0.120603015,0.067228767
D1ERR-RT,Monkey KN,1,10,450.8369565,0.070707071,0.066753446
D1ERR-RT,Monkey KN,1,10,441.6769231,0.071428571,0.062816423
D1ERR-RT,Monkey KN,1,10,459.880829,0.098130841,0.070640543
D1ERR-RT,Monkey KN,1,10,440.0901639,0.089552239,0.062134426
D1ERR-RT,Monkey KN,1,30,480.8679245,0.053571429,0.079660892
D1ERR-RT,Monkey KN,1,30,470.2727273,0.166666667,0.075107028
D1ERR-RT,Monkey KN,1,30,487.9931034,0.126506024,0.082723326
D1ERR-RT,Monkey KN,1,30,542.0787402,0.20625,0.105969577
D1ERR-RT,Monkey KN,1,30,424.9006211,0.012269939,0.055605892
D1ERR-RT,Monkey KN,1,50,505.9936306,0.218905473,0.090460034
D1ERR-RT,Monkey KN,1,50,495.5668449,0.105263158,0.085978554
D1ERR-RT,Monkey KN,1,50,448.112069,0.049180328,0.065582277
D1ERR-RT,Monkey KN,1,50,450.3809524,0.041493776,0.066557454
D1ERR-RT,Monkey KN,1,50,559.047619,0.117647059,0.113262878
D1ERR-RT,Monkey KN,1,100,487.0917431,0.084033613,0.082335917
D1ERR-RT,Monkey KN,1,100,483.6428571,0.045454545,0.08085357
D1ERR-RT,Monkey KN,1,100,495.2857143,0.088757396,0.085857723
D1ERR-RT,Monkey KN,1,100,499.6170213,0.087378641,0.087719338
D1ERR-RT,Monkey KN,1,Control,447.637931,0.079365079,0.065378491
D1ERR-RT,Monkey KN,1,Control,457.8970588,0.087248322,0.06978791
D1ERR-RT,Monkey KN,1,Control,412.6050955,0.042682927,0.05032122
D1ERR-RT,Monkey KN,1,Control,386.8405797,0.06122449,0.039247515
D1ERR-RT,Monkey KN,1,Control,390.220339,0.063492063,0.04070015
D1ERR-RT,Monkey KN,1,Control,409.9470588,0.071038251,0.049178784
D1ERR-RT,Monkey KN,1,Control,424.9215686,0.110465116,0.055614896
D1ERR-RT,Monkey KN,1,Control,458.6842105,0.101351351,0.070126231
D1ERR-RT,Monkey KN,1,Control,434.7801418,0.113207547,0.059852155
D1ERR-RT,Monkey KN,1,Control,441.51,0.090909091,0.062744678
D1ERR-RT,Monkey KN,1,Control,366.8466454,0.018808777,0.030654031
D1ERR-RT,Monkey KN,1,Control,470.7746479,0.139393939,0.075322756
D1ERR-RT,Monkey KN,1,Control,441.8382353,0.042253521,0.062885755
D1ERR-RT,Monkey KN,1,Control,480.102459,0.031746032,0.079331891
D1ERR-RT,Monkey KN,1,Control,480.4652778,0.082802548,0.079487833
D1ERR-RT,Monkey KN,1,Control,440.7757576,0.051724138,0.062429098
D1ERR-RT,Monkey KN,1,Control,450.5935829,0.036082474,0.066648843
D1ERR-RT,Monkey KN,1,Control,458.1964286,0.050847458,0.069916581
